ITEM	REF	DESC	MEAN	ALT	FS	D1	D2	D3	D4	D5	D6	D7
20109	338	0008085919010	120000	120000	F	10000	12000	12000	8000			
20110	338	0008085919010	144000	96000	F	17100	17000					
20111	338	0008085919010	110000	110000	F	48000	12000	1000	19000			
20112	338	0008085919010	132000	88000	F	30000	53000					
20113	338	0008085919010	100000	100000	F	214000	72000					
20114	340	0000085965010	75000	75000	F	3100	3000	3000				
20115	340	0000085965010	60000	60000	F	8000	8000	6000				
20116	340	0000085965010	40000	40000	F	25000	18000	19000				
20117	340	0000085965010	25000	25000	F	7742000	262000					
20118	340	0000085865010	75000	75000	F	4000	5000	3000				
20119	340	0000085865010	60000	60000	F	7100	7000	7000				
20120	340	0000085865010	40000	40000	F	22000	31000	39000				
20121	340	0000085865010	30000	30000	F	107000	88000	59000				
20122	340	0012585860010	30000	30000	F	46000	36000					
20123	340	0012585860010	30000	30000	F	108000	40000					
20124	340	0012585860010	30000	30000	F	32000	30000					
20125	337	0000085965010	60000	60000	F	8100	8000					
20126	337	0000085965010	50000	50000	F	11000	17000	12000				
20127	337	0000085965010	36000	36000	F	34000	50000					
20128	337	0000085965010	30000	30000	F	233000	113000					
20129	337	0000085965010	25000	25000	F	469000	179000					
20130	337	0000085865010	40500	94500	F	5000	3000					
20131	337	0000085865010	33000	77000	F	6000	8000					
20132	337	0000085865010	25500	59500	F	13000	15000					
20133	337	0000085865010	18000	42000	F	62000	80000	175000				
20134	337	0000085865010	13500	31500	F	114000	196000					
20135	339	0010038071010	37500	37500	F	19000	45000	20000				
20136	339	0010038071010	42500	42500	F	60000	69000	61000				
20137	339	0010038071010	50000	50000	F	6000	5000	8000	7000	6000	26000	30000
					F	31000	15000	12000	27000	14000	31000	17000
					F	12000	20000	17000	20000	34000	24000	
20138	334	0602585865010	35000	35000	F	1094000	22000					
20139	334	0602585865010	33000	33000	F	37000	316000					
20140	334	0602585865010	80000	80000	F	2000	4000	4000				
20141	334	0602585865010	50000	50000	F	24000	22000	30000				
20142	336	0602585865010	0	40000	F	200000	198000					
20143	336	0602585865010	0	32000	F	374000	229000					
20144	335	0625085865010	80000	80000	F	3100	3000					
20145	335	0625085865010	35000	35000	F	40000	2165000					
20146	335	0625085865010	32000	32000	F	3441000	144000					
					S	3441000						
20147	323	2600085865010	75000	75000	F	4000	5000	3000				
20148	323	2600085865010	60000	60000	F	7100	7000	7000				
20149	323	2600085865010	40000	40000	F	22000	31000	39000				
